channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,nonMemberPercentage
UChUJbHiTVeGrSkTdBzVfNCQ,2021-03,150343,27081,9229,617,93.31455195579153
UChXm-xAYPfygrbyLo2yCASQ,2021-03,53906,17892,1366,119,91.28843338213763
UCheqzZj54e5y_5HEtwG7FSA,2021-03,356,0,48,0,100.0
UChgPVLjqugDQpRLWvC7zzig,2021-03,24947,0,6059,0,100.0
UChgTyjG-pdNvxxhdsXfHQ5Q,2021-03,505871,120933,30674,992,96.76599074134447
UCiGcHHHT3kBB1IGOrv7f3qQ,2021-03,23832,0,1034,0,100.0
UCiSRx1a2k-0tOg-fs6gAolQ,2021-03,4329,1442,486,95,80.45267489711934
UCigpSsgPbdCxXtbfGksFIYQ,2021-03,3798,0,113,0,100.0
UCijNnZ-6m8g85UGaRAWuw7g,2021-03,13608,0,1209,0,100.0
UCil-nSDmDTgV9n4jjb95znw,2021-03,1095,0,45,0,100.0
UCj6ZvZqDJsrwBal-5R_q1ZQ,2021-03,5515,0,106,0,100.0
UCjFu-9GHnabzSFRAYm1B9Dw,2021-03,23156,2730,1883,28,98.51301115241635
UCjGE11ZnF0JSR8egVAwh-3A,2021-03,1798,1063,251,75,70.1195219123506
UCj_KuUzpOXAliYEesJwdrbw,2021-03,110441,12539,6369,199,96.87549065787408
UCji4kFR4n5TnEpqga0SHxlQ,2021-03,2400,1248,143,38,73.42657342657343
UCjlmCrq4TP1I4xguOtJ-31w,2021-03,251945,64322,15597,914,94.13989869846765
UCk5r533QVMgJUdWwqegH2TA,2021-03,29876,3741,1217,53,95.64502875924404
UCkIimWZ9gBJRamKF0rmPU8w,2021-03,230816,46392,11094,480,95.67333693888588
UCkL9OLKjIQbKk2CztbpOCFg,2021-03,45109,0,2357,0,100.0
UCkPIfBOLoO0hVPG-tI2YeGg,2021-03,125233,40308,5123,585,88.58090962326762
UCkkdEmzZHMp9xqs_F7v1EQQ,2021-03,63859,12633,853,77,90.97303634232122
UCkngxfPbmGyGl_RIq4FA3MQ,2021-03,334710,62556,17662,604,96.58022873966708
UCl-3q6t6zdZwgIsFZELb7Zg,2021-03,122497,28975,3108,264,91.5057915057915
UCl1oLKcAq93p-pwKfDGhiYQ,2021-03,98515,24365,9456,281,97.02834179357022
UClS6k3w1sPwlVFqK3-yID5A,2021-03,6205,1523,208,38,81.73076923076923
UClV7gDF9sUzu4jJCK7rCYkQ,2021-03,37392,10174,593,87,85.32883642495784
UCl_gCybOJRIgOXw6Qb4qJzQ,2021-03,1210091,317198,59434,3848,93.52559141232291
UCle1cz6rcyH0a-xoMYwLlAg,2021-03,25750,14996,603,192,68.1592039800995
UClf0kZBKcBVKVOAjGEGbQ-A,2021-03,942,261,132,13,90.15151515151516
UCllKI7VjyANuS1RXatizfLQ,2021-03,77109,31671,3269,382,88.31446925665341
UClxrt4pRmaqQnSlDii3EJBQ,2021-03,55867,10815,734,58,92.09809264305177
UCm8Dj7dQ0oRHXNUXF31kjEw,2021-03,248,27,73,5,93.15068493150685
UCmWqYB6y8gSfPONWGspuOWQ,2021-03,11121,6941,185,58,68.64864864864865
UCmZ1Rbthn-6Jm_qOGjYsh5A,2021-03,966921,273324,20508,1222,94.04134971718354
UCmovZ2th3Sqpd00F5RdeigQ,2021-03,406412,0,16439,0,100.0
UCmqrvfLMws-GLGHQcB5dasg,2021-03,9714,2294,540,98,81.85185185185185
UCn1coImC6NMDYCQfH_ILzXw,2021-03,125101,18544,7229,169,97.66219394107068
